model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_3_AutoML_1_20250602_190518,0.6681742652037328,0.6189954555530263,0.5528981276527917,0.4597605939272124,0.4876086899327525,0.2377622344979352,2212,0.020169,StackedEnsemble
StackedEnsemble_AllModels_2_AutoML_1_20250602_190518,0.6682069001695516,0.6188891871901013,0.552750177765997,0.4604540441278755,0.4876250210544815,0.2377781611583835,2539,0.016718,StackedEnsemble
StackedEnsemble_BestOfFamily_3_AutoML_1_20250602_190518,0.668346509324898,0.6185108446802513,0.5530329288996774,0.4689476086289889,0.4876931036960443,0.2378445633926806,2844,0.006767,StackedEnsemble
StackedEnsemble_AllModels_6_AutoML_1_20250602_190518,0.6684041154707308,0.6187629729018442,0.5523840762825716,0.4611232546274441,0.4877167476840021,0.2378676259714606,19264,0.021604,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20250602_190518,0.6684951563181568,0.6181985186418266,0.5512105039284299,0.466522589202668,0.4877626509864806,0.2379124036973592,1729,0.013404,StackedEnsemble
StackedEnsemble_BestOfFamily_6_AutoML_1_20250602_190518,0.668550477580388,0.6184753789733033,0.552450006180217,0.4656398451262206,0.4877824850263203,0.2379317526984524,35359,0.006614,StackedEnsemble
GBM_5_AutoML_1_20250602_190518,0.6685834042744463,0.6180783860593883,0.5528124072809419,0.4692749752770355,0.4878069200591033,0.2379555912575484,3789,0.00288,GBM
StackedEnsemble_BestOfFamily_2_AutoML_1_20250602_190518,0.6686724961039653,0.6179503181384356,0.5509604272347969,0.466686359648872,0.4878446628001927,0.2379924150226337,1982,0.004604,StackedEnsemble
GBM_2_AutoML_1_20250602_190518,0.6687418343268571,0.6178162895681749,0.5512235761752132,0.4674710315861129,0.4878771271909378,0.2380240912360825,4537,0.003375,GBM
StackedEnsemble_BestOfFamily_5_AutoML_1_20250602_190518,0.6688517208594815,0.6166403868143958,0.5507253726521638,0.4744381687914948,0.4879336046499984,0.238079202546741,17632,0.009041,StackedEnsemble
StackedEnsemble_AllModels_5_AutoML_1_20250602_190518,0.6690756625783986,0.6164370727655812,0.5503971572039889,0.4737425751926512,0.4880371042749895,0.238180215149117,22146,0.023099,StackedEnsemble
GBM_3_AutoML_1_20250602_190518,0.6691704427615767,0.6166658693302449,0.5499095794056157,0.4700075741424679,0.48808868070246,0.2382305602298679,5324,0.00311,GBM
XGBoost_3_AutoML_1_20250602_190518,0.6695547802207356,0.615758371965041,0.548743675023117,0.4681117194389301,0.488279468617305,0.2384168394731977,2455,0.002918,XGBoost
GBM_4_AutoML_1_20250602_190518,0.6703809135699724,0.6132649469460576,0.546303120990603,0.4724731963557013,0.4886926479580061,0.2388205041682076,4584,0.004415,GBM
StackedEnsemble_BestOfFamily_1_AutoML_1_20250602_190518,0.670393506004015,0.6130362543504052,0.5473122222227956,0.4670780576039536,0.4887059293474028,0.2388334853793087,3960,0.006137,StackedEnsemble
GBM_1_AutoML_1_20250602_190518,0.6704357782700208,0.6129836840564272,0.5472208274039438,0.4668631531764083,0.4887245562363323,0.2388516918683999,7240,0.003793,GBM
StackedEnsemble_BestOfFamily_4_AutoML_1_20250602_190518,0.6726566012539115,0.6104731096859783,0.5448680827224848,0.4771690684182133,0.4896269268110106,0.2397345274583947,26660,0.008602,StackedEnsemble
StackedEnsemble_AllModels_4_AutoML_1_20250602_190518,0.6745008799186061,0.6074665886918336,0.5408462557808941,0.4678077482250997,0.4904957224677456,0.2405860537591557,34332,0.026558,StackedEnsemble
DeepLearning_1_AutoML_1_20250602_190518,0.6777787813431497,0.6079063342889048,0.5394559682459951,0.4813228397987907,0.490729206484052,0.2408151540964673,14532,0.003482,DeepLearning
XGBoost_2_AutoML_1_20250602_190518,0.6785790440241473,0.602128854071079,0.5360095074424166,0.4787898909120552,0.4924269671694375,0.2424843179956902,7829,0.002348,XGBoost
XGBoost_grid_1_AutoML_1_20250602_190518_model_1,0.6826809607969083,0.598039750693478,0.5311699899345007,0.4899501108550328,0.4940723372574563,0.2441074744430456,16018,0.002807,XGBoost
XGBoost_1_AutoML_1_20250602_190518,0.6884847112678246,0.5906757565521704,0.5287191305608117,0.4893067645723592,0.4967930456510869,0.2468033302072829,6675,0.002969,XGBoost
